[[-1.36400845e+00  7.87077354e-04 -2.48920362e-02]],[[-1.41137982 -0.04658429 -0.0722634 ]],[[-1.48581072 -0.1210152  -0.14669431]],[[-1.37353885 -0.00874333 -0.03442244]],[[-1.37470498 -0.00990946 -0.03558857]],[[-1.49866696 -0.13387143 -0.15955055]],[[-1.52051266 -0.15571714 -0.18139625]],[[-1.55211354 -0.18731801 -0.21299713]],[[-1.78340213 -0.4186066  -0.44428571]],[[-1.66980006 -0.30500454 -0.33068365]],[[-1.6226194  -0.25782387 -0.28350299]],[[-1.59141984 -0.22662431 -0.25230343]],[[-1.64354715 -0.27875163 -0.30443074]],[[-1.56120116 -0.19640564 -0.22208475]],[[-1.51993195 -0.15513642 -0.18081553]],[[-1.50989908 -0.14510356 -0.17078267]],[[-1.39146262 -0.0266671  -0.05234621]],[[-1.22521475  0.13958078  0.11390166]],[[-1.10418282  0.26061271  0.23493359]],[[-1.11358142  0.25121411  0.22553499]]
[[ 1.29595353 -1.60753795 -0.69308814]],[[ 1.28987443 -1.61361706 -0.69916724]],[[ 1.31291154 -1.59057995 -0.67613014]],[[ 1.43516496 -1.46832653 -0.55387671]],[[ 1.60228971 -1.30120177 -0.38675196]],[[ 1.79756098 -1.1059305  -0.19148069]],[[ 1.70946479 -1.1940267  -0.27957688]],[[ 1.74565341 -1.15783807 -0.24338826]],[[ 1.67617393 -1.22731755 -0.31286774]],[[ 1.60707786 -1.29641363 -0.38196381]],[[ 1.44328901 -1.46020248 -0.54575266]],[[ 1.30094249 -1.602549   -0.68809918]],[[ 1.34448892 -1.55900257 -0.64455275]],[[ 1.35234534 -1.55114614 -0.63669633]],[[ 1.38241235 -1.52107914 -0.60662932]],[[ 1.36580191 -1.53768958 -0.62323977]],[[ 1.20419949 -1.699292   -0.78484219]],[[ 1.03534499 -1.8681465  -0.95369668]],[[ 1.13135983 -1.77213166 -0.85768184]],[[ 1.1774372  -1.72605429 -0.81160447]]
[[-0.4686183  -2.09050935  3.34468939]],[[-0.49569757 -2.11758862  3.31761012]],[[-0.6287376  -2.25062865  3.18457009]],[[-0.5934422  -2.21533325  3.21986549]],[[-0.66660673 -2.28849778  3.14670096]],[[-0.68942694 -2.31131799  3.12388075]],[[-0.68514422 -2.30703527  3.12816347]],[[-0.8022429  -2.42413395  3.01106479]],[[-0.8865946  -2.50848566  2.92671308]],[[-0.84984382 -2.47173487  2.96346386]],[[-0.74448266 -2.36637371  3.06882502]],[[-0.76745225 -2.3893433   3.04585544]],[[-0.77524196 -2.39713301  3.03806573]],[[-0.77951054 -2.40140159  3.03379715]],[[-0.77189027 -2.39378132  3.04141741]],[[-0.83253153 -2.45442259  2.98077615]],[[-0.67137087 -2.29326192  3.14193682]],[[-0.52146755 -2.1433586   3.29184014]],[[-0.36413555 -1.9860266   3.44917214]],[[-0.53747727 -2.15936832  3.27583042]]
[[-4.31941473 -1.7790494   2.23211066]],[[-4.56737185 -2.02700652  1.98415353]],[[-4.67042575 -2.13006042  1.88109963]],[[-4.72090912 -2.18054379  1.83061627]],[[-4.87956478 -2.33919944  1.67196061]],[[-4.75570063 -2.2153353   1.79582476]],[[-4.70553793 -2.1651726   1.84598746]],[[-4.62794594 -2.08758061  1.92357945]],[[-4.57229308 -2.03192774  1.97923231]],[[-4.63455625 -2.09419092  1.91696913]],[[-4.38439683 -1.84403149  2.16712856]],[[-4.42494099 -1.88457566  2.12658439]],[[-4.29906327 -1.75869794  2.25246211]],[[-4.27451717 -1.73415183  2.27700822]],[[-4.17368727 -1.63332194  2.37783811]],[[-4.36877942 -1.82841408  2.18274597]],[[-4.31282588 -1.77246054  2.23869951]],[[-4.24115171 -1.70078637  2.31037368]],[[-4.2268827  -1.68651737  2.32464268]],[[-4.17149432 -1.63112899  2.38003107]]
[[-3.52641584  1.46325138  1.68725881]],[[-3.50354366  1.48612356  1.71013099]],[[-3.62719439  1.36247284  1.58648026]],[[-3.64519669  1.34447053  1.56847795]],[[-3.51366201  1.47600521  1.70001264]],[[-3.69932591  1.29034131  1.51434874]],[[-3.87211247  1.11755475  1.34156218]],[[-3.86595954  1.12370769  1.34771511]],[[-3.79399377  1.19567345  1.41968088]],[[-3.77041432  1.2192529   1.44326033]],[[-3.75046024  1.23920698  1.46321441]],[[-3.69425568  1.29541155  1.51941897]],[[-3.61859855  1.37106867  1.5950761 ]],[[-3.70738573  1.28228149  1.50628892]],[[-3.59535744  1.39430978  1.61831721]],[[-3.63188137  1.35778585  1.58179328]],[[-3.55574069  1.43392653  1.65793395]],[[-3.63949503  1.35017219  1.57417962]],[[-3.46581687  1.52385035  1.74785778]],[[-3.45482128  1.53484594  1.75885337]]
[[-4.48868021  2.15831681  3.6983172 ]],[[-4.49103951  2.15595751  3.6959579 ]],[[-4.45202312  2.19497389  3.73497428]],[[-4.45909813  2.18789889  3.72789928]],[[-4.52809066  2.11890636  3.65890674]],[[-4.65523291  1.9917641   3.53176449]],[[-4.82391356  1.82308345  3.36308384]],[[-5.07088885  1.57610817  3.11610856]],[[-5.18319361  1.46380341  3.00380379]],[[-5.0511951   1.59580192  3.13580231]],[[-4.95144554  1.69555148  3.23555187]],[[-5.09062416  1.55637285  3.09637324]],[[-4.9942343   1.65276271  3.1927631 ]],[[-4.88384177  1.76315524  3.30315563]],[[-4.77103582  1.8759612   3.41596159]],[[-4.63766648  2.00933053  3.54933092]],[[-4.5078666   2.13913041  3.6791308 ]],[[-4.50457418  2.14242284  3.68242323]],[[-4.48136228  2.16563474  3.70563513]],[[-4.52108396  2.12591305  3.66591344]]
[[-2.75182186  3.70184273  0.73873153]],[[-2.73351906  3.72014553  0.75703433]],[[-2.60596751  3.84769708  0.88458588]],[[-2.81004852  3.64361607  0.68050487]],[[-2.79441579  3.6592488   0.6961376 ]],[[-2.80338632  3.65027827  0.68716707]],[[-2.76085589  3.6928087   0.7296975 ]],[[-2.6609408   3.79272378  0.82961259]],[[-2.73016279  3.7235018   0.7603906 ]],[[-2.8082327   3.64543189  0.68232069]],[[-2.98375044  3.46991415  0.50680295]],[[-3.1001157   3.35354888  0.39043769]],[[-3.03782992  3.41583467  0.45272347]],[[-3.13350413  3.32016046  0.35704926]],[[-3.0994212   3.35424338  0.39113218]],[[-3.04949307  3.40417151  0.44106031]],[[-2.94989236  3.50377223  0.54066103]],[[-2.85770488  3.5959597   0.63284851]],[[-2.81176186  3.64190273  0.67879153]],[[-2.79527178  3.65839281  0.69528161]]
[[-0.97880911  6.22154101  0.5521892 ]],[[-1.18902259  6.01132753  0.34197571]],[[-1.18684724  6.01350287  0.34415106]],[[-1.21073234  5.98961778  0.32026596]],[[-1.43358303  5.76676709  0.09741528]],[[-1.35278169  5.84756843  0.17821662]],[[-1.3299764   5.87037371  0.2010219 ]],[[-1.22116699  5.97918312  0.30983131]],[[-1.21622119  5.98412892  0.31477711]],[[-1.33829188  5.86205824  0.19270643]],[[-1.45650607  5.74384404  0.07449223]],[[-1.44003304  5.76031707  0.09096526]],[[-1.46123342  5.7391167   0.06976489]],[[-1.45939103  5.74095909  0.07160728]],[[-1.45062193  5.74972819  0.08037638]],[[-1.4473321   5.75301802  0.0836662 ]],[[-1.47674295  5.72360716  0.05425535]],[[-1.24855376  5.95179636  0.28244454]],[[-1.07086168  6.12948844  0.46013663]],[[-0.90918414  6.29116597  0.62181416]]
[[ 0.04878187  3.98251272 -1.8367855 ]],[[-0.00875825  3.9249726  -1.89432561]],[[ 0.05277166  3.98650251 -1.8327957 ]],[[-0.06984299  3.86388786 -1.95541036]],[[ 5.44444611e-04  3.93427529e+00 -1.88502292e+00]],[[ 0.28700249  4.22073334 -1.59856488]],[[ 0.25817425  4.1919051  -1.62739311]],[[ 0.24222113  4.17595198 -1.64334624]],[[ 0.17726822  4.11099907 -1.70829914]],[[ 0.10402224  4.03775309 -1.78154512]],[[ 0.11274662  4.04647746 -1.77282075]],[[ 0.12459067  4.05832152 -1.7609767 ]],[[ 0.27614756  4.2098784  -1.60941981]],[[ 0.26550424  4.19923509 -1.62006313]],[[ 0.35732831  4.29105915 -1.52823906]],[[ 0.24746398  4.18119483 -1.63810338]],[[ 0.27469724  4.20842809 -1.61087013]],[[ 0.26547746  4.19920831 -1.6200899 ]],[[ 0.28123842  4.21496927 -1.60432894]],[[ 0.14222807  4.07595892 -1.74333929]]
[[-0.94573111  1.75468053 -2.4721507 ]],[[-0.99454015  1.70587149 -2.52095974]],[[-1.04935885  1.65105279 -2.57577844]],[[-0.99596799  1.70444365 -2.52238758]],[[-0.98577272  1.71463892 -2.51219231]],[[-1.02222438  1.67818726 -2.54864397]],[[-1.05559079  1.64482085 -2.58201038]],[[-0.97236064  1.728051   -2.49878023]],[[-0.99915687  1.70125477 -2.52557646]],[[-0.91917799  1.78123365 -2.44559758]],[[-1.01391215  1.6864995  -2.54033174]],[[-1.00296683  1.69744481 -2.52938642]],[[-0.85821365  1.84219799 -2.38463324]],[[-1.07640863  1.62400302 -2.60282822]],[[-1.11626506  1.58414658 -2.64268465]],[[-0.98412817  1.71628348 -2.51054776]],[[-0.81919367  1.88121797 -2.34561326]],[[-0.69998913  2.00042251 -2.22640872]],[[-0.73750309  1.96290855 -2.26392268]],[[-0.74631214  1.9540995  -2.27273173]]
[[-5.73555031 -0.7895377  -0.24193676]],[[-5.72031444 -0.77430182 -0.22670089]],[[-5.69283827 -0.74682566 -0.19922472]],[[-5.70826659 -0.76225398 -0.21465304]],[[-5.67853608 -0.73252347 -0.18492254]],[[-5.75623506 -0.81022245 -0.26262151]],[[-5.73851919 -0.79250657 -0.24490564]],[[-5.7069439  -0.76093129 -0.21333035]],[[-5.85554309 -0.90953047 -0.36192954]],[[-5.78595849 -0.83994588 -0.29234494]],[[-5.64331954 -0.69730692 -0.14970599]],[[-5.6758434  -0.72983079 -0.18222985]],[[-5.7830944  -0.83708179 -0.28948085]],[[-5.84431425 -0.89830164 -0.3507007 ]],[[-5.82972817 -0.88371556 -0.33611462]],[[-5.93007169 -0.98405908 -0.43645814]],[[-5.91443716 -0.96842455 -0.42082361]],[[-5.87863604 -0.93262343 -0.38502249]],[[-5.80959622 -0.86358361 -0.31598267]],[[-5.83870912 -0.89269651 -0.34509557]]
